freq,psd_x,psd_y,psd_z,psd_xyz,ei(55.8)
54.6,7.037e+02,2.112e+04,1.199e+03,2.302e+04,0.039
56.1,3.952e+02,1.675e+04,7.400e+02,1.788e+04,0.039
57.6,2.242e+02,1.188e+04,2.602e+02,1.236e+04,0.037
59.1,1.321e+02,8.742e+03,5.472e+01,8.929e+03,0.032
60.5,4.481e+01,6.064e+03,1.197e+01,6.121e+03,0.030
62.0,1.391e+01,5.157e+03,5.805e+00,5.176e+03,0.028
63.5,1.012e+01,3.988e+03,9.053e+00,4.008e+03,0.029
65.0,1.093e+01,3.088e+03,2.112e+01,3.120e+03,0.033
66.4,8.410e+00,2.649e+03,5.480e+01,2.712e+03,0.041
67.9,5.312e+00,2.380e+03,9.527e+01,2.480e+03,0.053
69.4,3.981e+00,2.339e+03,9.416e+01,2.437e+03,0.072
70.9,4.764e+00,2.144e+03,6.447e+01,2.213e+03,0.095
72.4,4.687e+00,2.068e+03,4.702e+01,2.119e+03,0.119
73.8,3.848e+00,1.895e+03,3.412e+01,1.933e+03,0.144
75.3,4.015e+00,1.534e+03,2.519e+01,1.563e+03,0.170
76.8,4.206e+00,1.498e+03,2.356e+01,1.525e+03,0.197
78.3,4.038e+00,1.307e+03,2.035e+01,1.332e+03,0.225
79.7,3.784e+00,1.170e+03,1.737e+01,1.191e+03,0.253
81.2,4.129e+00,1.106e+03,1.586e+01,1.126e+03,0.281
82.7,5.346e+00,1.045e+03,1.544e+01,1.065e+03,0.309
84.2,5.320e+00,8.724e+02,1.414e+01,8.919e+02,0.337
85.6,5.685e+00,9.280e+02,1.794e+01,9.516e+02,0.365
